"Rank","Name","Rep","Post_Count","Followers","Following","Posting","Curation","Steem","Steem_Power","Steem_Dollars","Estimated_Value"
"#1","steemit",35,"1","933","0","3,548","0","2,000,001","70,861,118","8,541","$108,142,693"
"#2","poloniex",25,"0","765","0","0","0","24,288,901","2,133","1,342,624","$37,430,315"
"#3","bittrex",25,"0","743","0","0","0","9,671,191","4,135","671,394","$15,049,207"
"#4","freedom",25,"0","549","0","0","9,738,430","1","7,199,416","3","$10,684,730"
"#5","steem",25,"0","200","0","0","0","24,130","4,924,086","734","$7,344,451"
"#6","dan",69.3,"397","5,553","3","45,982,248","91,268,307","227,261","4,171,035","754","$6,528,331"
"#7","ned",66.5,"621","6,958","6,288","8,169,446","734,296,854","48,000","3,556,812","5,712","$5,355,807"
"#8","blocktrades",69.8,"934","5,383","10","69,350,143","363,035,706","64,480","2,560,951","34,951","$3,932,346"
"#9","val-a",55.2,"59","1,232","38","350,994","115,247,765","0","2,548,748","0","$3,782,622"
"#10","mottler",25,"0","287","0","0","0","0","2,236,046","0","$3,318,539"
"#11","ben",36.2,"1","522","0","335","0","758,147","1,445,924","1","$3,271,084"
"#12","abit",69.4,"2,917","4,376","3,996","16,352,080","102,605,738","272","1,983,131","303","$2,943,901"
"#13","databass",25,"0","224","0","0","0","0","1,695,076","0","$2,515,679"
"#14","hendrikdegrote",50.5,"31","1,550","28","70,595","28,405,727","0","1,656,115","36","$2,457,893"
"#15","jamesc",59.9,"472","1,420","843","1,969,118","16,257,828","140","1,549,106","239","$2,299,498"
"#16","michael-b",25,"0","309","0","0","5,853,264","0","1,493,696","0","$2,216,809"
"#17","val-b",25,"10","413","0","0","87,813,652","0","1,481,328","0","$2,198,454"
"#18","ranchorelaxo",28.1,"1","139","2","162","0","0","1,294,905","1","$1,921,783"
"#19","proskynneo",57.8,"102","905","32","2,678,322","5,521,460","7,451","1,156,503","0","$1,727,435"
"#20","thejohalfiles",59.9,"1,483","2,401","2,252","455,420","25,819,450","321","1,118,385","1,058","$1,661,370"
"#21","smooth",68.1,"3,459","2,007","0","13,426,657","287,390,876","1,721","1,088,517","56","$1,618,090"
"#22","imadev",25,"0","147","0","0","1,968","788,298","215,640","71,103","$1,563,024"
"#23","dantheman",73.5,"1,578","6,457","30","104,731,832","403,830,655","944,296","103","95","$1,401,690"
"#24","xeldal",60.3,"160","1,822","1,273","8,694,020","65,621,652","0","933,249","17","$1,385,061"
"#25","roadscape",61.7,"175","1,745","1,476","14,531,113","25,657,366","52","927,332","3,076","$1,379,501"
"#26","firefire",25,"0","69","0","0","0","893,204","1","1","$1,325,615"
"#27","created",25,"0","341","0","0","8,378,234","0","837,852","0","$1,243,464"
"#28","arhag",67.5,"309","2,115","35","52,850,586","5,651,804","5,782","809,232","4,309","$1,213,998"
"#29","jamesc1",51.6,"72","316","29","81,488","570,692","571","796,029","58","$1,182,301"
"#30","safari",25,"0","101","0","0","0","0","726,466","0","$1,078,156"
"#31","michael-a",25,"0","236","0","0","3,123,589","0","704,130","0","$1,045,006"
"#32","minority-report",25,"1","16","0","0","0","44,620","650,827","0","$1,032,119"
"#33","riverhead",61.2,"212","1,613","62","7,558,467","29,884,331","137","685,773","0","$1,017,966"
"#34","tombstone",63.1,"253","1,244","691","6,136,085","80,397,897","99,804","585,590","1","$1,017,200"
"#35","jaewoocho",25,"0","166","0","0","1,970,321","102,592","558,880","0","$981,698"
"#36","adsactly",60.6,"281","1,702","1,666","1,013,211","1,362,838","27,972","615,210","2,041","$956,650"
"#37","fyrstikken",73,"4,005","6,284","5,043","58,739,279","18,602,868","0","635,970","1,500","$945,391"
"#38","adm",60.8,"253","392","0","897,519","1,899,413","307","636,051","146","$944,575"
"#39","batel",25,"0","191","0","0","0","0","634,629","0","$941,859"
"#40","witness.svk",33.5,"3","570","3","662,339","20,258,428","218,711","340,314","1","$829,655"
"#41","pharesim",68.4,"1,049","3,513","1,568","38,718,306","89,971,125","50,770","502,128","222","$820,790"
"#42","transisto",64.5,"784","1,199","46","3,090,040","5,307,949","63","548,886","1,619","$816,363"
"#43","trafalgar",65.7,"2,781","4,683","48","18,387,730","15,760,260","621","539,788","47","$802,076"
"#44","tamim",70.5,"1,542","1,037","22","18,293,994","14,210,857","0","536,455","1,729","$797,936"
"#45","engagement",54.8,"91","727","1","759,478","17,686,819","0","533,652","1","$791,999"
"#46","steemit2",25,"0","153","5","0","53","525,827","2,525","4,967","$789,237"
"#47","bob",25,"0","115","0","0","0","0","521,916","2","$774,583"
"#48","wackou",58.3,"31","1,368","66","2,150,769","27,785,217","6,213","511,439","1","$768,254"
"#49","steemed",63.9,"161","1,378","0","17,146,102","97,312,344","0","500,667","17","$743,062"
"#50","renohq",58.6,"275","1,013","979","1,279,977","2,783,678","116","478,224","206","$710,122"
"#51","alice",25,"0","161","0","0","69","0","462,065","0","$685,755"
"#52","fuzzyvest",62.8,"1,175","1,463","77","6,637,965","50,657,505","0","461,528","37","$684,996"
"#53","alpha",25,"0","60","0","0","790","450,000","10","1,602","$669,511"
"#54","gavvet",76.8,"3,321","5,534","4,401","244,065,618","45,075,157","0","445,784","0","$661,593"
"#55","freewallet",25,"0","69","0","0","0","422,296","23","0","$626,768"
"#56","bitcube",60.1,"168","440","0","5,988,918","593,219","7","415,115","2,283","$618,433"
"#57","goku1",25,"0","90","2","0","27,058","0","414,355","0","$614,949"
"#58","amcq",57,"23","249","3","13,350","34,908","410,844","4","264","$610,016"
"#59","recursive",62.4,"642","791","372","2,683,513","17,301,667","273","400,671","649","$595,712"
"#60","glitterfart",65.2,"972","1,842","38","8,436,593","21,117,098","2","392,325","1,082","$583,368"
"#61","korbit",25,"0","2","0","0","0","373,106","1","0","$553,731"
"#62","newsflash",43.5,"17","183","3","46,480","1,443,148","10","352,699","43","$523,503"
"#63","fulltimegeek",63.2,"1,543","1,798","1,699","2,352,089","4,744,767","5","352,622","15","$523,352"
"#64","slowwalker",69.4,"4,011","3,174","2,866","23,561,565","16,719,141","0","344,244","0","$510,896"
"#65","openledger",25,"0","127","0","0","0","312,983","3,311","37,833","$508,294"
"#66","alvaro",25,"0","102","0","0","0","0","337,305","0","$500,597"
"#67","azeroth",25,"0","127","0","0","0","143,409","172,702","20,966","$490,688"
"#68","donkeypong",72.9,"3,048","4,968","242","165,641,773","21,602,476","20","325,323","0","$482,845"
"#69","rainman",60.3,"129","872","90","4,723,909","101,815,623","276,065","46,095","0","$478,121"
"#70","systema",25,"0","146","0","0","570,021","74,696","224,432","0","$443,938"
"#71","honeybeee",53.7,"31","298","20","242,370","249,985","2,468","289,513","64","$433,397"
"#72","fminerten",25,"0","294","0","0","4,942,844","0","288,735","1","$428,515"
"#73","thecyclist",46.7,"13","278","0","119,464","7,122,878","0","286,675","0","$425,458"
"#74","thisvsthis",46.1,"161","502","165","9,851","11,279,570","0","269,349","1","$399,744"
"#75","wang",-16.2,"3,663","710","0","229,184","247,926,568","252,669","1","30","$375,022"
"#76","steemstermon",25,"1","64","0","0","7,082","129,205","122,724","2","$373,892"
"#77","xaero1",55.2,"2,129","899","735","337,858","1,993,048","0","251,283","0","$372,931"
"#78","arsahk",25,"0","140","0","0","70,789","0","241,436","0","$358,318"
"#79","creator",58.7,"16","248","6","3,867,425","1,306,250","2,948","230,905","72","$347,137"
"#80","julianita",53.4,"234","443","38","798,906","2,201,301","87,690","141,663","538","$340,938"
"#81","lafona-miner",25,"0","169","0","0","15,202,363","91,562","136,789","0","$338,898"
"#82","skan",49.4,"257","626","601","86,732","2,324,159","34,944","193,259","89","$338,768"
"#83","abdullar",69.6,"3,086","3,013","765","21,553,260","15,650,519","20,919","204,360","792","$335,153"
"#84","dele-puppy",52.3,"19","169","0","3,347,873","0","222,935","0","0","$330,859"
"#85","nnnn",25,"0","40","0","0","0","203,996","18,029","0","$329,510"
"#86","bhuz",59,"36","742","0","1,847,262","2,077,846","0","215,907","1","$320,430"
"#87","enki",52.2,"40","616","19","152,892","75,335,486","75,127","138,910","357","$318,022"
"#88","hr1",59.4,"158","1,848","44","2,347,974","32,193,500","0","204,663","5,009","$308,890"
"#89","nanzo-scoop",70.4,"1,302","2,133","1,411","59,553,863","19,430,295","18,460","184,953","2,481","$304,437"
"#90","livingfree",25,"1","338","2","0","1,937,009","0","201,700","3,310","$302,747"
"#91","another",25,"0","71","0","0","0","199,218","28","0","$295,703"
"#92","arama",50.9,"60","1,359","39","76,680","11,187,455","30,537","167,914","3","$294,526"
"#93","nextgencrypto",65.2,"162","1,522","1","15,171,477","38,065,454","203","192,770","5,951","$292,509"
"#94","onceuponatime",70.8,"2,299","2,380","93","25,499,311","18,057,065","0","191,138","142","$283,815"
"#95","ramta",63.5,"553","880","706","5,108,867","11,385,755","284","181,447","900","$270,634"
"#96","roelandp",70.5,"1,025","4,208","2,773","89,411,263","9,840,794","15","181,687","7","$269,672"
"#97","smooth-a",25,"0","46","0","0","46","283","171,319","9,381","$264,315"
"#98","snowflake",64.3,"1,316","976","49","3,291,679","11,834,755","0","177,263","0","$263,078"
"#99","curie",75.2,"321","3,752","0","165,583,395","23,106,271","4,197","171,348","0","$260,528"
"#100","craig-grant",75.2,"7,142","5,749","2","58,681,726","7,710,357","0","175,321","1","$260,197"
